cross_val,kfold,accuracy,class_0_recall,class_1_recall,mean_recall,class_0_precision,class_1_precision,mean_precision,class_0_F1,class_1_F1,mean_F1
1,1,0.5974025974025974,0,0.5974025974025974,0.2987012987012987,0.0,1.0,0.5,0,0.7479674796747967,0.37398373983739835
1,2,0.6883116883116883,0,0.6883116883116883,0.34415584415584416,0.0,1.0,0.5,0,0.8153846153846155,0.40769230769230774
1,3,0.6623376623376623,0,0.6623376623376623,0.33116883116883117,0.0,1.0,0.5,0,0.796875,0.3984375
1,4,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.5882352941176471,0.813953488372093,0.70109439124487,0.6451612903225806,0.7608695652173914,0.703015427769986
1,5,0.6103896103896104,0,0.6103896103896104,0.3051948051948052,0.0,1.0,0.5,0,0.7580645161290321,0.37903225806451607
1,6,0.6363636363636364,0,0.6363636363636364,0.3181818181818182,0.0,1.0,0.5,0,0.7777777777777778,0.3888888888888889
1,7,0.7012987012987013,0,0.7012987012987013,0.35064935064935066,0.0,1.0,0.5,0,0.8244274809160306,0.4122137404580153
1,8,0.6233766233766234,0,0.6233766233766234,0.3116883116883117,0.0,1.0,0.5,0,0.768,0.384
1,9,0.6447368421052632,0,0.6447368421052632,0.3223684210526316,0.0,1.0,0.5,0,0.7839999999999999,0.39199999999999996
1,10,0.7894736842105263,0,0.7894736842105263,0.39473684210526316,0.0,1.0,0.5,0,0.8823529411764706,0.4411764705882353
