cross_val,kfold,accuracy,class_1_recall,class_2_recall,class_3_recall,mean_recall,class_1_precision,class_2_precision,class_3_precision,mean_precision,class_1_F1,class_2_F1,class_3_F1,mean_F1
1,1,0.2631578947368421,0.2631578947368421,0,0,0.08771929824561403,1.0,0.0,0.0,0.3333333333333333,0.4166666666666667,0,0,0.1388888888888889
1,2,0.3333333333333333,0.3333333333333333,0,0,0.1111111111111111,1.0,0.0,0.0,0.3333333333333333,0.5,0,0,0.16666666666666666
1,3,0.3888888888888889,0,0,0.3888888888888889,0.12962962962962962,0.0,0.0,1.0,0.3333333333333333,0,0,0.56,0.18666666666666668
1,4,0.16666666666666666,0.16666666666666666,0,0,0.05555555555555555,1.0,0.0,0.0,0.3333333333333333,0.2857142857142857,0,0,0.09523809523809523
1,5,0.16666666666666666,0,0.16666666666666666,0,0.05555555555555555,0.0,1.0,0.0,0.3333333333333333,0,0.2857142857142857,0,0.09523809523809523
1,6,0.3333333333333333,0.3333333333333333,0,0,0.1111111111111111,1.0,0.0,0.0,0.3333333333333333,0.5,0,0,0.16666666666666666
1,7,0.3888888888888889,0.3888888888888889,0,0,0.12962962962962962,1.0,0.0,0.0,0.3333333333333333,0.56,0,0,0.18666666666666668
1,8,0.2777777777777778,0.2777777777777778,0,0,0.0925925925925926,1.0,0.0,0.0,0.3333333333333333,0.4347826086956522,0,0,0.14492753623188406
1,9,0.23529411764705882,0.23529411764705882,0,0,0.0784313725490196,1.0,0.0,0.0,0.3333333333333333,0.38095238095238093,0,0,0.12698412698412698
1,10,0.3125,0.3125,0,0,0.10416666666666667,1.0,0.0,0.0,0.3333333333333333,0.47619047619047616,0,0,0.15873015873015872
