cross_val,kfold,accuracy,class_1_recall,class_2_recall,class_3_recall,mean_recall,class_1_precision,class_2_precision,class_3_precision,mean_precision,class_1_F1,class_2_F1,class_3_F1,mean_F1
1,1,0.15789473684210525,0,0,0.15789473684210525,0.05263157894736842,0.0,0.0,1.0,0.3333333333333333,0,0,0.2727272727272727,0.0909090909090909
1,2,0.16666666666666666,0,0,0.16666666666666666,0.05555555555555555,0.0,0.0,1.0,0.3333333333333333,0,0,0.2857142857142857,0.09523809523809523
1,3,0.3888888888888889,0.3888888888888889,0,0,0.12962962962962962,1.0,0.0,0.0,0.3333333333333333,0.56,0,0,0.18666666666666668
1,4,0.4444444444444444,0.4444444444444444,0,0,0.14814814814814814,1.0,0.0,0.0,0.3333333333333333,0.6153846153846153,0,0,0.2051282051282051
1,5,0.4444444444444444,0,0.4444444444444444,0,0.14814814814814814,0.0,1.0,0.0,0.3333333333333333,0,0.6153846153846153,0,0.2051282051282051
1,6,0.2777777777777778,0,0.2777777777777778,0,0.0925925925925926,0.0,1.0,0.0,0.3333333333333333,0,0.4347826086956522,0,0.14492753623188406
1,7,0.3888888888888889,0,0.3888888888888889,0,0.12962962962962962,0.0,1.0,0.0,0.3333333333333333,0,0.56,0,0.18666666666666668
1,8,0.16666666666666666,0,0,0.16666666666666666,0.05555555555555555,0.0,0.0,1.0,0.3333333333333333,0,0,0.2857142857142857,0.09523809523809523
1,9,0.29411764705882354,0,0.29411764705882354,0,0.09803921568627451,0.0,1.0,0.0,0.3333333333333333,0,0.45454545454545453,0,0.15151515151515152
1,10,0.125,0,0,0.125,0.041666666666666664,0.0,0.0,1.0,0.3333333333333333,0,0,0.2222222222222222,0.07407407407407407
